geometry,DENOMINAZIONE_STRUTTURA,RAGIONE_SOCIALE,INDIRIZZO,SITOWEB,TIPOLOGIA_STRUTTURA,TIPO_STRUTTURA,CLASSIFICAZIONE,TELEFONO,INDIRIZZO_EMAIL,ZONA_IDS,PERCENTUALE_RIDUZIONE,NUMERO_STANZE,NUMERO_LETTI
"X: 1373258.11846616, Y: 5690113.88275895, Z: NaN",CA' DEL CARRO,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN MARCO,1611",PUBBLICAZIONE DATO NON AUTORIZZATA,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,CLASSE UNICA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,3,6
"X: 1373320.51602924, Y: 5690225.118214, Z: NaN",SIMONA SPARACO,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN MARCO,1093/A    ",PUBBLICAZIONE DATO NON AUTORIZZATA,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,CLASSE UNICA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,2,4
"X: 1372420.45619465, Y: 5689873.0369093, Z: NaN",CANALETTO FALIER,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN MARCO,2909",PUBBLICAZIONE DATO NON AUTORIZZATA,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,CLASSE UNICA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,2,3
"X: 1372593.37852155, Y: 5690128.22070992, Z: NaN",PALAZZO SAN SAMUELE,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN MARCO,3440",PUBBLICAZIONE DATO NON AUTORIZZATA,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,CLASSE UNICA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,3,8
"X: 1373298.42428054, Y: 5690020.23030821, Z: NaN",ALBERTO CARRARO,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN MARCO,1497",PUBBLICAZIONE DATO NON AUTORIZZATA,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,CLASSE UNICA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,1,4
"X: 1373298.42428054, Y: 5690020.23030821, Z: NaN",CA' FREZZERIA,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN MARCO,1497",PUBBLICAZIONE DATO NON AUTORIZZATA,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,CLASSE UNICA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,2,4
"X: 1372496.02611663, Y: 5690055.10512032, Z: NaN",SAN MARCO'S LODGE,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN MARCO,3121",PUBBLICAZIONE DATO NON AUTORIZZATA,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,CLASSE UNICA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,1,2
"X: 1372684.49826628, Y: 5690138.64419975, Z: NaN",CA' PESTRIN,PADOAN OLGA,"SAN MARCO,3524",PUBBLICAZIONE DATO NON AUTORIZZATA,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,CLASSE UNICA,3391886332     ,OBRINOBET@GMAIL.COM,CENTRO STORICO,0,5,8
"X: 1373397.76375258, Y: 5690315.92430697, Z: NaN",ROSA SALVA SUITES 1,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN MARCO,984",PUBBLICAZIONE DATO NON AUTORIZZATA,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,CLASSE UNICA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,5,10
"X: 1373397.76375258, Y: 5690315.92430697, Z: NaN",ROSA SALVA SUITES 2,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN MARCO,984",PUBBLICAZIONE DATO NON AUTORIZZATA,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,CLASSE UNICA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,5,10
