geometry,DENOMINAZIONE_STRUTTURA,RAGIONE_SOCIALE,INDIRIZZO,SITOWEB,TIPOLOGIA_STRUTTURA,TIPO_STRUTTURA,CLASSIFICAZIONE,TELEFONO,INDIRIZZO_EMAIL,ZONA_IDS,PERCENTUALE_RIDUZIONE,NUMERO_STANZE,NUMERO_LETTI
"X: 1371798.64933935, Y: 5691366.9472588, Z: NaN",HOTEL ANTICA CASA CARETTONI,ELMA S.R.L.,"CANNAREGIO,130",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE,041716231      ,info@anticacasacarettoni.com,CENTRO STORICO,0,16,27
"X: 1371930.29075793, Y: 5691482.77943053, Z: NaN",HOTEL AMADEUS,PUBBLICAZIONE DATO NON AUTORIZZATA,"CANNAREGIO,227",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,4 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,63,116
"X: 1373323.17955559, Y: 5691293.77826963, Z: NaN",HOTEL AT LEONARD'S,PUBBLICAZIONE DATO NON AUTORIZZATA,"CANNAREGIO,4606/A    ",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,1 STELLA,0415211052     ,info@locandaleo.it,CENTRO STORICO,0,8,17
"X: 1371657.18194548, Y: 5691382.00300252, Z: NaN",LA LOCANDA DI ORSARIA,PUBBLICAZIONE DATO NON AUTORIZZATA,"CANNAREGIO,103/A    ",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,8,21
"X: 1372177.91416915, Y: 5691653.63995338, Z: NaN",ARCADIA,PUBBLICAZIONE DATO NON AUTORIZZATA,"CANNAREGIO,1333",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,17,37
"X: 1372177.91416915, Y: 5691653.63995338, Z: NaN",ALLE GUGLIE,PUBBLICAZIONE DATO NON AUTORIZZATA,"CANNAREGIO,1333",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,8,15
"X: 1373256.33527304, Y: 5691048.60230795, Z: NaN",THE VENICE VENICE HOTEL,PUBBLICAZIONE DATO NON AUTORIZZATA,"CANNAREGIO,5631",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,5 STELLE SUPERIOR,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,42,92
"X: 1371941.06588486, Y: 5691491.57287301, Z: NaN",HOTEL MINERVA & NETTUNO,HOTEL MINERVA S.R.L.,"CANNAREGIO,230",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,1 STELLA,041715968      ,amministrazione@minervaenettuno.it,CENTRO STORICO,0,26,41
"X: 1371621.65222498, Y: 5691416.310951, Z: NaN",VENICE TIMES HOTEL,PUBBLICAZIONE DATO NON AUTORIZZATA,"CANNAREGIO,99/D    ",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,4 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,29,58
"X: 1373308.88810007, Y: 5690872.98106688, Z: NaN",HOTEL AL PONTE ANTICO,PUBBLICAZIONE DATO NON AUTORIZZATA,"CANNAREGIO,5768",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,4 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,7,13
"X: 1371754.94474931, Y: 5691448.8876144, Z: NaN",HOTEL ATLANTIDE,ELMA S.R.L.,"CANNAREGIO,375/A    ",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,2 STELLE,041716231      ,info@anticacasacarettoni.com,CENTRO STORICO,0,13,22
"X: 1371626.39781089, Y: 5691404.86106882, Z: NaN",VENICE MAGGIOR CONSIGLIO,PUBBLICAZIONE DATO NON AUTORIZZATA,"CANNAREGIO,74",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,2 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,32,69
"X: 1371916.69343248, Y: 5691560.70282356, Z: NaN",HOTEL ROSSI,PUBBLICAZIONE DATO NON AUTORIZZATA,"CANNAREGIO,262",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,1 STELLA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,14,25
"X: 1371942.77351619, Y: 5691532.67355577, Z: NaN",GUERRINI,PUBBLICAZIONE DATO NON AUTORIZZATA,"CANNAREGIO,265",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,2 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,28,42
"X: 1372325.3745506, Y: 5691747.78026702, Z: NaN",HOTEL ARIEL SILVA,HS HOTELS,"CANNAREGIO,1391/A    ",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,2 STELLE,041714773      ,hotel_arielsilva@hotmail.com,CENTRO STORICO,0,12,29
