short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
FELI-001,C,17.58,1.15,301.14
FELI-002,Bg,9999.0,0.0,339.34
FELI-003,Bg,0.0,0.85,155.59
FELI-004,C,9999.0,0.85,3728.04
FELI-005,fa,13.3,0.85,200.07
FELI-006,Or,11.15,0.85,81.34
FELI-007,Or,4.89,0.85,34.99
FELI-008,C,13.84,0.85,310.24
FELI-009,Or,0.0,0.0,136.92
FELI-010,Or,10.17,0.85,134.84
FELI-011,Or,12.84,0.85,105.33
FELI-012,Or,0.0,0.0,150.83
FELI-013,Or,5.55,0.85,245.42
FELI-014,B,11.72,0.75,70.34
FELI-015,Ne,6.86,0.85,86.01
FELI-016,Ne,0.0,0.0,62.68
FELI-017,Or,11.78,1.15,379.36
FELI-018,pt,0.0,0.85,27.97
FELI-019,C,0.0,0.0,126.46
FELI-020,pt,5.15,0.85,32.69
FELI-021,pt,14.57,0.75,121.61
FELI-022,C,11.7,0.95,155.17
FELI-023,fa,7.24,1.15,47.64
FELI-024,pt,15.81,0.75,103.94
FELI-025,Bg,12.67,0.75,99.92
FELI-026,Bg,9999.0,0.85,3179.86
FELI-027,Or,9.9,0.85,150.59
FELI-028,B,0.0,0.0,90.52
FELI-029,B,14.41,0.85,91.9
FELI-030,Bg,5.24,1.07,197.05
FELI-031,A,0.0,1.05,280.31
FELI-032,A,11.77,1.05,62.12
FELI-033,Nd,0.0,1.05,9.91
FELI-034,C,0.0,0.0,302.12
FELI-035,Nd,9999.0,0.95,23300.44
FELI-036,C,17.0,1.05,509.82
FELI-037,pt,15.61,1.25,332.36
FELI-038,C,9999.0,0.85,22445.92
FELI-039,Bg,9999.0,0.85,757.2
FELI-040,Or,19.39,0.95,387.21
FELI-041,Bg,9999.0,0.95,22596.24
FELI-042,Or,9999.0,0.95,23267.84
FELI-043,A,9999.0,0.95,22618.56
FELI-044,A,0.0,0.95,24.55
FELI-045,C,14.15,1.05,120.33
FELI-046,Or,14.1,0.95,555.74
FELI-047,Or,9999.0,0.95,22460.06
FELI~NO_BUILDING,,,,
