short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
RAGU-001,Ne,14.9,1.15,150.31
RAGU-002,Ne,0.0,1.15,328.04
RAGU-003,Nr,8.1,1.25,49.87
RAGU-004,Knt,0.0,0.0,0.0
RAGU-005,Nr,0.0,1.15,839.36
RAGU-006,Nr,6.19,1.15,49.49
RAGU-007,Nr,15.35,1.15,827.28
RAGU-008,Nr,18.9,0.85,286.95
RAGU-009,Nr,18.85,0.85,253.9
RAGU-010,Nr,19.05,1.05,295.83
RAGU-011,C,15.16,0.75,159.15
RAGU-012,A,13.12,0.65,72.13
RAGU-013,B1,0.0,0.0,166.21
RAGU-014,A,9.12,0.65,61.02
RAGU-015,A,7.4,0.65,85.48
RAGU-016,A,10.25,0.65,38.5
RAGU-017,B1,7.0,0.95,52.82
RAGU-018,B1,9.5,1.05,103.29
RAGU-019,Kt,7.6,0.85,73.87
RAGU-020,A,12.6,0.65,124.7
RAGU-021,Kt,8.54,1.05,121.63
RAGU-022,Bg,10.6,0.75,171.54
RAGU-023,Nr,18.6,1.05,300.96
RAGU-024,Bg,10.6,1.05,188.37
RAGU-025,pt,0.0,0.75,241.13
RAGU-026,B,12.3,0.75,181.21
RAGU-027,Ne,14.28,1.05,76.77
RAGU-028,pt,13.17,0.85,48.25
RAGU-029,A,8.4,0.95,149.03
RAGU-030,A,0.0,0.0,40.41
RAGU-031,Nr,12.58,1.05,41.5
RAGU-032,O,11.58,1.05,143.12
RAGU-033,Nr,0.0,1.05,513.41
RAGU-034,Or,14.63,1.05,95.82
RAGU-035,fa,11.5,1.05,48.38
RAGU-036,Nr,8.19,1.05,187.71
RAGU-037,fa,11.95,1.05,137.38
RAGU-038,A,11.4,1.05,288.88
RAGU-039,A,16.66,1.05,48.99
RAGU-040,Nd,7.63,1.15,27.63
RAGU-041,A,9999.0,1.05,27635.04
RAGU-042,Nr,9999.0,1.35,27798.26
RAGU-043,Nr,9999.0,1.15,28542.74
RAGU-044,Knt,5.64,1.45,120.77
RAGU-045,pt,6.0,1.35,221.51
RAGU-046,C,13.0,1.35,493.61
RAGU-047,Nr,11.0,1.45,407.11
RAGU-048,Nr,12.05,1.45,168.57
RAGU-049,Ne,0.0,0.65,1.3
RAGU-050,Nr,4.12,1.45,44.29
RAGU-051,Nr,12.45,1.35,142.47
RAGU-052,Nr,4.13,1.45,53.63
RAGU-053,fa,5.12,1.15,26.11
RAGU-054,B1,7.95,1.45,265.78
RAGU-055,C,9.74,1.45,15.08
RAGU-056,C,4.71,1.45,18.61
RAGU-057,fa,7.0,1.15,128.53
RAGU-058,B1,11.84,1.05,226.56
RAGU-059,B1,14.39,1.45,141.92
RAGU-060,B1,15.25,1.45,180.76
RAGU-061,B1,15.15,1.45,182.08
RAGU-062,fa,7.15,1.15,43.27
RAGU-063,B1,0.0,0.0,127.91
RAGU-064,Bg,9999.0,1.05,312.4
RAGU-065,Nr,12.64,1.05,314.59
RAGU-066,Bg,0.0,0.0,302.52
RAGU-067,Nr,5.68,1.45,254.19
RAGU-068,C,19.1,1.05,694.8
RAGU-069,Nr,17.37,1.15,187.61
RAGU-070,Nr,21.0,1.15,263.3
RAGU-071,C,13.91,1.05,194.4
RAGU-072,Nd,4.43,1.05,29.71
RAGU-073,A,11.5,1.05,75.35
RAGU-074,Bg,16.0,1.05,148.38
RAGU-075,Ne,19.0,1.45,1117.91
RAGU-076,C,18.03,1.15,477.02
RAGU-077,C,13.64,1.05,168.65
RAGU-078,Nr,15.5,0.95,460.98
RAGU-079,Ne,14.98,0.95,320.6
RAGU~NO_BUILDING,,,,
