short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
VALV-001,Ne,0.0,0.0,47.7
VALV-002,Ne,11.62,1.35,225.48
VALV-003,Ne,9999.0,1.15,7034.62
VALV-004,Ne,6.42,1.15,40.4
VALV-005,Ne,0.0,1.15,35.39
VALV-006,Ne,14.4,1.05,78.48
VALV-007,Ne,9999.0,0.95,5905.34
VALV-008,Ne,0.0,1.05,7.09
VALV-009,Ne,12.5,1.15,277.16
VALV-010,Ne,14.08,0.95,179.46
VALV-011,pt,0.0,0.0,46.73
VALV-012,pt,14.48,1.05,187.25
VALV-013,Kt,0.0,0.0,0.0
VALV-014,pt,0.0,0.0,88.36
VALV-015,Nr,10.89,1.05,94.11
VALV-016,Kna,14.17,1.25,245.52
VALV-017,Kna,4.78,1.25,175.67
VALV-018,Kna,4.37,1.25,331.75
VALV-019,Kna/Ne,5.28,1.25,232.84
VALV-020,Kna,5.94,1.25,280.27
VALV-021,Kna/Ne,8.45,1.25,207.74
VALV-022,Kna/Ne,10.9,1.05,27.29
VALV-023,Kna/Ne,8.66,1.15,308.69
VALV-024,Kna,0.0,1.25,6.88
VALV-025,Nr,6.9,1.25,292.89
VALV-026,Kna,6.67,1.15,295.72
VALV-027,Kna,8.16,1.15,149.76
VALV-028,Kna,5.6,1.25,100.14
VALV-029,Nr,7.64,1.25,43.35
VALV-030,Kna/Ne,6.92,1.25,297.46
VALV-031,Ne,10.0,1.25,92.07
VALV-032,Ne,9999.0,1.25,6566.6
VALV-033,Ne,9999.0,1.25,6397.24
VALV-034,Ne,11.3,0.85,146.87
VALV-035,SU,13.0,0.95,720.31
VALV-036,SU,22.22,1.45,21.37
VALV-037,SU,10.08,0.65,435.26
VALV-038,SM,6.76,0.75,265.68
VALV-039,Knt,10.23,1.15,289.34
VALV-040,Knt,0.0,0.95,9.18
VALV-041,Knt,3.68,1.15,15.92
VALV-042,C,10.23,1.15,289.34
VALV-043,Knt,3.76,1.15,16.4
VALV-044,C,3.82,1.43,56.76
VALV-045,Nd,4.12,1.05,17.87
VALV-046,Ne,8.51,1.05,271.14
VALV-047,Ne,0.0,0.95,9.87
VALV-048,Ka,4.37,1.25,244.77
VALV~NO_BUILDING,,,,
