short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
PALA-001,A1,7.3,1.45,68.45
PALA-002,B,7.1,1.45,164.61
PALA-003,A1,7.52,1.45,64.04
PALA-004,B,9999.0,1.45,528.48
PALA-005,Knt,4.4,1.05,41.06
PALA-006,Or,4.4,1.05,41.35
PALA-007,Or,10.05,1.05,123.38
PALA-008,Or,8.5,0.95,157.92
PALA-009,A1,9999.0,0.0,304.46
PALA-010,Kna,6.08,1.35,671.03
PALA-011,fa,10.4,0.95,148.25
PALA-012,fa,9.78,1.05,109.41
PALA-013,Nd,4.61,1.05,10.12
PALA-014,B,4.28,1.05,13.11
PALA-015,fa,10.6,0.95,174.8
PALA-016,Nr,9.39,1.05,95.55
PALA-017,Nr,12.57,1.35,464.94
PALA-018,Nr,12.22,1.35,403.0
PALA-019, ,6.2,1.05,82.77
PALA-020,O,7.44,0.95,72.69
PALA-021, ,7.76,1.05,48.83
PALA-022,fa,8.22,0.95,68.36
PALA-023,Knt,5.34,1.35,697.3
PALA-024,O,12.3,0.95,150.4
PALA-025,Bg,11.28,0.95,141.04
PALA-026,Kna,5.3,1.15,220.41
PALA-027,O,10.78,1.15,272.14
PALA-028,O,10.11,1.15,99.75
PALA-029,O,9.24,1.15,150.43
PALA-030,Bg,9999.0,1.15,263.58
PALA-031,Kna,4.72,1.15,156.44
PALA-032,Bg,9.6,0.95,99.46
PALA-033,Kna,5.41,1.15,163.09
PALA-034,O,10.5,1.15,155.42
PALA-035,Kna,3.9,1.15,148.43
PALA-036,O,11.47,1.15,200.64
PALA-037,Nr,9999.0,1.15,137.11
PALA-038,O,9999.0,1.15,16433.18
PALA-039,Nr,4.13,0.95,63.25
PALA-040, ,3.94,1.15,28.16
PALA-041, ,4.06,1.15,64.81
PALA-042,A1,10.19,1.15,47.23
PALA-043, ,9999.0,1.15,15662.14
PALA-044,pt,9999.0,0.95,15079.98
PALA-045,Kna,9999.0,1.15,16816.72
PALA-046,fa,9999.0,0.95,15498.46
PALA-047,O,9999.0,1.05,15781.22
PALA-048,O,9999.0,0.95,15456.46
PALA-049,Nd,4.35,1.05,8.53
PALA-050,O,9999.0,1.05,15991.68
PALA-051,B,0.0,0.0,97.77
PALA-052,O,7.72,1.05,84.76
PALA-053,Bg,0.0,0.0,122.82
PALA-054,B,0.0,0.0,94.25
PALA-055,Bg,0.0,0.0,81.94
PALA-056,Bg,9.65,0.95,117.23
PALA-057, ,11.85,1.05,74.32
PALA-058,Or,9.02,0.95,259.73
PALA-059,A1,0.0,0.0,100.87
PALA-060,A1,0.0,0.0,50.88
PALA-061,C,0.0,0.0,49.02
PALA-062,C,12.7,1.05,130.73
PALA-063,Or,12.45,0.95,155.26
PALA-064,Nd,6.0,1.55,18.48
PALA-065,Nd,0.0,1.55,229.12
PALA-066,B1,7.95,1.05,50.41
PALA-067,Kna,4.68,1.05,117.37
PALA-068,A1,8.81,1.55,533.26
PALA-069,Kna,4.6,1.05,160.17
PALA-070,A1,8.81,1.05,62.12
PALA-071,Kna,4.99,0.85,132.93
PALA-072,A1,9999.0,0.0,147.62
PALA-073,Nr,12.1,1.05,240.65
PALA-074,fa,8.15,1.05,69.08
PALA-075,C,10.17,0.95,361.93
PALA-076,fa,7.45,1.05,64.73
PALA-077,C,0.0,0.95,126.92
PALA-078,Or,8.5,1.05,84.36
PALA-079,Or,9.2,1.05,106.68
PALA-080,A1,6.39,0.92,39.86
PALA-081,Or,0.0,0.95,148.58
PALA-082,B,10.42,0.95,53.97
PALA-083,Ne,9.14,0.95,47.8
PALA-084,Ne,11.5,0.95,97.7
PALA~NO_BUILDING,,,,
