short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
STUC-001,Po,23.5,1.25,598.87
STUC-002,Po,9999.0,1.04,1748.7
STUC-003,Ne,7.0,1.25,5.78
STUC-004,Ne,0.0,1.25,274.23
STUC-005,Ne,0.0,2.25,33.98
STUC-006,Ne,6.86,2.25,133.21
STUC-007,pt,11.49,2.05,183.23
STUC-008,Nd,5.16,2.05,19.22
STUC-009,Nd,4.69,2.05,9.09
STUC-010,Nr,0.0,0.0,18.75
STUC-011,Nr,0.0,0.0,18.75
STUC-012,Nr,0.0,0.0,1451.5
STUC-013,Nr,0.0,0.0,303.13
STUC-014,Ne,11.16,1.55,466.46
STUC-015,Nd,0.0,1.55,67.42
STUC-016,Ne,0.0,1.55,11.4
STUC-017,Nr,0.0,0.0,78.62
STUC-018,Nr,0.0,0.0,80.12
STUC-019,Nr,0.0,0.0,79.56
STUC-020,Nr,0.0,0.0,79.56
STUC-021,Nr,0.0,0.0,78.19
STUC-022,Nr,5.38,1.85,29.46
STUC-023,Ne,0.0,2.05,34.56
STUC-024,Ne,0.0,2.05,123.7
STUC-025,Nd,9.77,2.05,15.39
STUC-026,Ne,0.0,2.15,487.59
STUC-027,Ne,29.76,1.95,4.23
STUC-028,Ne,0.0,2.25,159.5
STUC-029,Ne,0.0,2.25,532.73
STUC-030,Ne,0.0,2.25,140.25
STUC-031,Ne,0.0,2.05,3834.67
STUC-032,Ne,0.0,1.85,407.79
STUC-033,Nr,9999.0,1.85,3800.28
STUC-034,Ne,0.0,1.85,885.39
STUC-035,Po,9999.0,0.0,14.56
STUC-036,Nr,7.0,1.25,337.66
STUC-037,Nr,0.0,0.0,972.11
STUC-038,Ne,9999.0,1.85,30702.32
STUC-039,Nr,9999.0,1.85,30067.1
STUC-040,Po,0.0,0.0,893.54
STUC-041,Nd,0.0,2.05,8.73
STUC-042,Nr,0.0,0.0,71.49
STUC-043,Nr,0.0,0.0,76.23
STUC-044,Nr,0.0,0.0,78.7
STUC-045,Nr,0.0,0.0,76.83
STUC-046,Nr,0.0,0.0,82.88
STUC-047,Nd,9999.0,0.0,133.21
STUC-048,Nr,0.0,0.0,887.97
STUC~NO_BUILDING,,,,
