short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
ANDR-001,B,10.5,0.85,194.62
ANDR-002,B,0.0,0.0,103.48
ANDR-003,A,11.0,0.85,243.56
ANDR-004,B,7.19,0.85,47.62
ANDR-005,B,7.4,0.85,77.2
ANDR-006,fa,0.0,0.0,85.83
ANDR-007,A,0.0,0.85,430.42
ANDR-008,B,6.93,0.85,58.39
ANDR-009,A,8.33,0.85,56.57
ANDR-010, ,5.73,0.85,18.83
ANDR-011,A,0.0,0.0,50.59
ANDR-012,Bg,11.82,0.85,251.08
ANDR-013,A,11.68,0.85,33.92
ANDR-014, ,0.0,0.85,30.64
ANDR-015, ,7.12,0.85,46.81
ANDR-016,fa,10.73,0.85,177.55
ANDR-017,fa,10.1,0.85,64.72
ANDR-018, ,5.26,0.85,90.36
ANDR-019, ,5.14,0.85,112.4
ANDR-020,Nd,12.2,0.85,129.14
ANDR-021,fa,6.77,0.85,72.44
ANDR-022, ,0.0,0.85,94.88
ANDR-023,Nr,4.94,0.85,92.7
ANDR-024,Nd,12.43,0.85,178.37
ANDR-025,C,10.5,0.85,529.15
ANDR-026,Nr,8.83,0.85,122.4
ANDR-027,Ne,15.16,0.85,200.54
ANDR-028,Ne,11.05,0.85,184.56
ANDR-029,C,11.08,0.85,273.95
ANDR-030,B1,9.64,0.95,94.6
ANDR-031,Kna,8.75,0.95,57.95
ANDR-032,A,9.3,0.95,108.18
ANDR-033,Kna,8.44,0.95,48.86
ANDR-034,Kna,8.98,0.95,104.95
ANDR-035,B,9.5,0.95,24.8
ANDR-036,B,4.0,0.95,220.23
ANDR-037,B,11.7,0.85,231.96
ANDR-038,B,12.4,0.95,87.32
ANDR-039,B,9.68,0.95,79.27
ANDR-040,B,12.95,0.95,75.6
ANDR~NO_BUILDING,,,,
