short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
CERE-001,Nr,0.0,1.15,337.12
CERE-002,Nr,17.35,1.15,387.48
CERE-003,Nr,14.66,1.55,218.9
CERE-004,Nr,0.0,1.15,209.39
CERE-005,Nr,14.08,1.25,155.88
CERE-006,Nr,19.5,1.15,384.52
CERE-007,Nr,13.13,1.25,155.18
CERE-008,Nr,11.3,1.15,648.07
CERE-009,A,6.71,1.55,37.64
CERE-010,A,8.8,1.55,51.37
CERE-011,A,0.0,1.55,118.81
CERE-012,A1,16.28,1.25,316.96
CERE-013, ,7.7,1.25,96.55
CERE-014, ,4.47,1.35,12.82
CERE-015,Nd,4.72,1.55,21.76
CERE-016,Knt,6.46,1.35,42.49
CERE-017,Or,6.1,1.55,239.28
CERE-018, ,6.63,1.25,49.95
CERE-019,Or,5.25,1.55,165.25
CERE-020,A1,0.0,0.0,69.5
CERE-021,A1,4.6,1.55,19.0
CERE-022,Nd,4.6,1.55,21.05
CERE-023,,4.6,1.6,6.46
CERE-024,A1,11.1,1.25,69.4
CERE-025,Nr,5.4,1.55,67.51
CERE-026,A,16.65,1.25,345.09
CERE-027,Nr,4.1,1.5,65.09
CERE-028,Ne,0.0,1.25,119.25
CERE-029,Nr,0.0,0.0,248.08
CERE-030,A,0.0,0.0,49.01
CERE-031,Nr,4.78,1.55,30.34
CERE-032,A,7.75,1.15,50.34
CERE-033,Knt,5.46,1.15,82.71
CERE-034,Bg,14.3,1.25,131.68
CERE-035,Bg,0.0,0.0,124.91
CERE-036,Bg,14.24,1.55,126.91
CERE-037,Bg,0.0,0.0,122.96
CERE-038,Bg,0.0,0.0,117.83
CERE-039,Bg,14.83,1.15,104.01
CERE-040,A1,0.0,0.0,86.49
CERE-041,B,0.0,0.0,39.01
CERE-042,A,0.0,0.0,41.04
CERE-043,A,0.0,0.0,76.97
CERE-044,B,0.0,0.0,63.42
CERE-045,B,0.0,0.0,61.22
CERE-046,A1,0.0,0.0,53.89
CERE-047,A,0.0,0.0,56.18
CERE-048,A,0.0,0.0,35.74
CERE-049,B,0.0,0.0,57.44
CERE-050, ,0.0,0.0,4.97
CERE-051,B,10.4,1.15,86.64
CERE-052,B,0.0,0.0,75.49
CERE-053,A,0.0,0.0,39.12
CERE-054,A,0.0,0.0,38.73
CERE-055, ,0.0,0.0,7.97
CERE-056,A,0.0,0.0,36.11
CERE-057,A,0.0,0.0,36.35
CERE-058,A,0.0,0.0,36.68
CERE-059,A,0.0,0.0,37.55
CERE-060,B,0.0,0.0,43.97
CERE-061,C,0.0,0.0,152.32
CERE-062,C,0.0,0.0,126.55
CERE-063,Bg,0.0,0.0,128.6
CERE-064,C,0.0,0.0,133.41
CERE-065,C,14.1,1.25,180.58
CERE-066,C,14.3,1.25,152.07
CERE-067,C,0.0,0.0,126.9
CERE-068,Bg,0.0,0.0,106.15
CERE-069,C,0.0,0.0,149.77
CERE-070,C,0.0,0.0,189.54
CERE~NO_BUILDING,,,,
