short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
2TOR-001,C,10.5,1.1,217.59
2TOR-002,C,15.62,1.05,402.61
2TOR-003,A,25.7,1.05,1047.11
2TOR-004,A,0.0,0.0,32.14
2TOR-005,A,16.75,1.05,151.88
2TOR-006,B,0.0,0.0,99.49
2TOR-007,B,16.1,1.05,90.46
2TOR-008,B,16.1,1.05,167.81
2TOR-009,fa,9.85,1.05,45.69
2TOR-010,fa,0.0,0.0,62.12
2TOR-011,A,0.0,0.0,34.39
2TOR-012,fa,9.27,1.05,53.75
2TOR-013,Ne,0.0,1.05,61.65
2TOR-014,Ne,13.42,0.85,261.72
2TOR-015,pt,0.0,0.85,338.02
2TOR-016,C,12.23,0.85,45.06
2TOR-017,C,16.01,0.85,359.6
2TOR-018,Or,14.29,0.95,787.34
2TOR-019,A,0.0,0.0,20.12
2TOR-020,A,14.0,1.05,131.36
2TOR-021,B,16.3,1.05,80.9
2TOR-022,pt,8.15,1.05,115.6
2TOR-023,A,0.0,0.0,22.03
2TOR-024,fa,11.15,1.25,68.59
2TOR-025,fa,7.3,1.25,109.58
2TOR-026,C,11.37,1.25,358.33
2TOR-027,C,7.5,1.25,30.15
2TOR-028,Bg,0.0,0.0,67.99
2TOR-029,B,0.0,0.0,95.22
2TOR-030,B,0.0,0.0,98.22
2TOR-031,B,14.0,1.25,67.44
2TOR-032,Bg,12.92,1.25,126.27
2TOR-033,C,11.95,1.25,200.66
2TOR-034,Bg,15.82,1.25,176.88
2TOR-035,Bg,14.4,1.25,90.98
2TOR-036,C,13.42,1.25,83.3
2TOR-037,Bg,14.35,1.05,169.92
2TOR-038,C,0.0,0.0,115.47
2TOR-039,A,0.0,0.0,81.4
2TOR-040,A,18.0,1.25,141.13
2TOR-041,C,0.0,0.0,73.93
2TOR-042,Nd,4.3,1.25,12.05
2TOR-043,fa,0.0,1.25,108.02
2TOR-044,Or,13.46,1.05,275.47
2TOR-045,C,0.0,0.0,81.58
2TOR-046,C,0.0,0.0,70.48
2TOR-047,pt,13.3,1.05,95.88
2TOR-048,C,0.0,0.0,107.37
2TOR-049,C,16.04,1.05,218.07
2TOR-050,C,17.64,1.05,226.0
2TOR-051,C,17.48,0.95,375.72
2TOR-052,C,17.96,1.35,319.94
2TOR-053,B1,17.9,1.25,291.3
2TOR-054,C,7.74,1.25,304.94
2TOR-055,A,13.65,1.25,247.58
2TOR-056,A,7.46,1.25,57.33
2TOR-057,A,0.0,0.0,45.35
2TOR-058,Ka,15.78,1.25,252.44
2TOR-059,Ka,0.0,0.0,166.83
2TOR-060,C,8.7,1.35,190.69
2TOR-061,C,15.12,1.35,428.26
2TOR-062,C,14.66,1.25,194.45
2TOR-063,A,8.3,1.25,54.6
2TOR-064,A,10.5,1.25,202.87
2TOR-065,fa,11.47,1.05,84.39
2TOR-066,Or,10.4,1.15,76.31
2TOR-067,fa,8.52,1.05,126.46
2TOR-068,fa,14.13,1.05,150.97
2TOR-069,B,15.28,0.85,245.44
2TOR-070,B,4.65,1.05,60.77
2TOR-071,A,13.15,1.05,116.52
2TOR-072,D,14.65,1.05,105.02
2TOR-073,D,10.19,1.05,44.12
2TOR-074,Ne,15.0,1.05,263.72
2TOR-075,B,14.0,1.05,123.0
2TOR-076,B,11.78,1.05,148.45
2TOR-077,B,16.72,1.05,143.54
2TOR-078,B,8.28,1.05,136.85
2TOR-079,C,13.06,1.05,512.06
2TOR-080,Kt,5.27,1.25,143.2
2TOR-081,C,14.73,1.25,151.22
2TOR-082,C,13.95,1.25,334.52
2TOR~NO_BUILDING,,,,
