short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
FANT-001,C,18.07,0.95,225.48
FANT-002,B,10.78,0.95,98.94
FANT-003,B,0.0,0.0,67.77
FANT-004,A,20.05,0.95,307.97
FANT-005,pt,15.52,0.95,41.22
FANT-006,pt,12.21,0.95,246.91
FANT-007,fa,15.56,0.95,197.65
FANT-008,fa,16.6,0.95,38.05
FANT-009,B,16.42,0.95,74.5
FANT-010,A1,13.2,0.95,75.62
FANT-011,Or,0.0,0.0,42.28
FANT-012,fa,13.74,0.95,48.4
FANT-013,fa,15.04,0.95,129.95
FANT-014,SUo,0.0,0.0,730.57
FANT-015,SUo,13.7,0.95,305.3
FANT-016,pt,14.17,0.95,232.84
FANT-017,SUo,17.35,0.95,211.82
FANT-018,SUo,0.0,0.95,1591.7
FANT-019,SUo,0.0,0.0,49.96
FANT-020,SUo,0.0,0.0,213.14
FANT-021,C,0.0,0.0,113.81
FANT-022,C,0.0,0.0,220.35
FANT-023,B,11.0,0.95,159.91
FANT-024,B,8.38,0.95,81.2
FANT-025,B,11.0,0.95,54.8
FANT-026,A,13.0,0.95,126.06
FANT-027,fa,11.43,0.95,76.1
FANT-028,A,13.18,0.95,192.55
FANT-029,A,0.0,0.0,99.13
FANT-030,SUo,4.2,0.95,29.74
FANT-031,Nd,3.62,0.95,44.14
FANT-032,Nd,11.03,0.95,419.48
FANT-033,SUo,0.0,0.0,98.42
FANT-034,A,15.65,0.95,166.43
FANT-035,A,15.68,0.95,79.61
FANT-036,A,16.32,0.95,256.37
FANT-037,C,16.2,0.95,354.36
FANT-038,pt,15.08,0.95,314.2
FANT-039,SU,18.38,0.95,144.48
FANT-040,Nr,10.0,0.95,57.07
FANT-041,Or,15.92,0.95,82.49
FANT-042,Or,0.0,0.95,96.71
FANT-043,fa,9999.0,1.15,693.26
FANT-044,fa,9999.0,0.95,113.02
FANT-045,B,9999.0,0.95,1574.13
FANT-046,B,9999.0,0.95,1494.37
FANT-047, ,0.0,0.95,9.02
FANT-048,fa,9999.0,0.95,670.95
FANT-049,B,13.77,0.95,40.36
FANT-050,Or,15.66,0.95,50.52
FANT-051,Or,15.62,0.95,85.11
FANT-052,pt,13.0,0.95,324.15
FANT-053,A,9999.0,0.95,509.01
FANT-054,fa,0.0,0.0,81.37
FANT-055,Bg,0.0,0.0,144.64
FANT-056,Nd,2.6,0.95,25.33
FANT-057,Nd,4.9,0.95,5.95
FANT-058,Bg,4.7,0.95,15.16
FANT-059,Bg,0.0,0.0,111.76
FANT-060,Nd,9999.0,0.0,93.0
FANT-061,B,12.83,0.95,62.75
FANT-062,A1,0.0,0.0,65.81
FANT-063,A1,11.68,0.95,13.54
FANT-064,A1,13.33,0.95,133.98
FANT-065,C,13.62,0.95,148.57
FANT-066,C,0.0,0.0,111.45
FANT-067,A1,11.1,0.95,175.51
FANT-068,Bg,13.42,0.95,290.4
FANT-069,Bg,16.19,0.95,322.95
FANT-070,C,0.0,0.0,116.24
FANT-071,C,0.0,0.0,42.32
FANT-072,Bg,13.52,0.95,184.05
FANT-073,Bg,16.62,0.95,343.2
FANT-074,C,9999.0,0.95,752.94
FANT-075,C,9999.0,0.95,989.76
FANT-076,B,11.68,0.95,114.98
FANT~NO_BUILDING,,,,
