short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
MADD-001,B,13.5,1.05,309.38
MADD-002, ,0.0,0.0,83.72
MADD-003,A1,5.5,0.95,57.46
MADD-004,A1,0.0,0.0,37.56
MADD-005,Ne,14.61,0.95,177.61
MADD-006,Or,13.77,0.95,316.23
MADD-007,Or,0.0,1.25,321.24
MADD-008,B,12.7,1.15,93.21
MADD-009,B,10.95,1.15,99.42
MADD-010,B,7.3,1.15,50.57
MADD-011,O,11.1,1.15,206.82
MADD-012,Or,10.68,1.05,224.91
MADD-013,fa,4.31,1.15,176.98
MADD-014,fa,0.0,0.0,234.29
MADD-015,fa,0.0,1.05,1951.53
MADD-016,A,10.18,1.05,28.22
MADD-017,Bg,13.1,1.05,51.68
MADD-018,A1,0.0,0.0,53.47
MADD-019,A1,9.39,1.05,45.95
MADD-020,A1,7.0,1.05,47.07
MADD-021,D,16.96,0.95,101.5
MADD-022,fa,0.0,0.0,46.1
MADD-023,pt,9.91,0.95,125.1
MADD-024,C,0.0,0.0,108.72
MADD-025,C,0.0,0.0,93.81
MADD-026,B,0.0,1.05,193.26
MADD-027,C,17.95,1.05,168.25
MADD-028,C,0.0,0.0,145.51
MADD-029,C,0.0,0.0,164.41
MADD-030,Nd,0.0,1.3,12.5
MADD-031,pt,6.97,1.05,142.92
MADD-032,pt,0.0,1.05,161.23
MADD-033,C,17.0,1.05,287.76
MADD-034,Bg,0.0,1.05,672.88
MADD-035,fa,17.0,1.05,785.53
MADD-036,fa,12.22,1.05,83.51
MADD-037,C,13.5,1.05,306.94
MADD-038,D,16.56,0.75,653.57
MADD-039,C,0.0,0.0,0.0
MADD-040,pt,0.0,0.0,190.92
MADD-041,D,8.26,0.8,159.59
MADD-042,D,4.18,0.75,39.52
MADD-043,D,11.32,0.75,243.06
MADD-044,pt,7.0,1.05,37.12
MADD-045,A,8.62,1.05,57.87
MADD-046,B,10.33,1.05,60.88
MADD-047,B,0.0,0.0,69.47
MADD-048,B,0.0,0.0,41.32
MADD-049,C,7.5,1.05,129.45
MADD-050, ,5.72,0.95,17.13
MADD-051, ,10.6,1.05,166.73
MADD-052,D,15.27,1.05,145.69
MADD-053,A,0.0,0.0,51.84
MADD-054,B,9.86,1.05,88.41
MADD-055,A,9.06,1.05,45.65
MADD-056,Ka,10.65,0.95,483.84
MADD-057,pt,10.36,0.95,147.38
MADD-058,B,9.5,1.05,77.48
MADD-059,B,0.0,0.0,65.04
MADD-060,B,0.0,0.0,81.51
MADD-061,SU,16.7,0.85,420.82
MADD-062,C,12.25,1.05,454.04
MADD-063,Bg,13.51,1.05,127.57
MADD-064,C,10.27,1.05,86.85
MADD-065,pt,10.22,1.05,184.61
MADD-066,C,0.0,0.0,88.2
MADD-067,A,0.0,0.0,100.9
MADD-068,A,0.0,0.0,54.23
MADD-069,B1,6.4,0.85,83.19
MADD-070,B1,7.51,0.85,16.45
MADD-071,B1,8.0,0.85,93.22
MADD-072,B,0.0,1.05,51.46
MADD-073,B,0.0,0.95,78.82
MADD-074,Bg,15.84,0.95,162.32
MADD-075,B,10.37,0.95,100.37
MADD-076,D,12.95,0.85,201.73
MADD-077,A,13.27,0.85,113.12
MADD-078,C,12.49,1.05,143.54
MADD-079,C,0.0,0.0,73.57
MADD-080,C,0.0,0.0,76.19
MADD-081,C,0.0,0.0,87.32
MADD-082,Or,0.0,1.25,89.06
MADD-083,Or,12.55,1.25,67.01
MADD-084,Or,12.27,0.95,76.02
MADD-085,fa,11.18,0.95,71.6
MADD-086,fa,15.65,1.05,61.81
MADD-087,fa,6.68,0.95,81.33
MADD-088,Or,16.77,1.05,210.71
MADD-089,Or,11.44,1.05,201.81
MADD-090,C,17.05,1.05,324.33
MADD-091,C,16.0,1.05,786.92
MADD-092,C,6.9,1.05,90.66
MADD-093,Nr,15.77,0.95,225.15
MADD-094,Ne,0.0,0.85,272.26
MADD-095,Nr,8.9,1.05,17.95
MADD-096,Nr,4.27,1.05,38.27
MADD-097,Bg,14.72,0.95,320.21
MADD-098,pt,17.0,0.85,158.6
MADD-099,Ka,14.29,0.85,282.51
MADD-100,Ka,5.82,0.95,185.17
MADD-101,A1,14.5,0.95,81.29
MADD-102,B,12.21,0.85,51.59
MADD-103,Nr,14.3,1.05,205.23
MADD-104,D,13.57,1.25,223.89
MADD-105,C,14.87,1.15,355.75
MADD-106,C,14.7,1.15,228.01
MADD~NO_BUILDING,,,,
