short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
MARI-001,fa,10.2,1.05,239.7
MARI-002,fa,15.6,1.05,260.09
MARI-003,C,0.0,1.15,175.74
MARI-004,fa,12.0,1.05,194.71
MARI-005,fa,13.63,1.05,266.17
MARI-006,A,0.0,1.15,268.53
MARI-007,C,16.7,1.15,294.9
MARI-008,Or,11.76,1.05,85.1
MARI-009,A,0.0,1.15,95.1
MARI-010,B,13.65,1.05,99.9
MARI-011,A1,10.45,1.05,151.28
MARI-012,C,12.61,1.15,287.99
MARI-013,C,0.0,1.15,94.72
MARI-014,C,18.36,1.05,178.62
MARI-015,C,14.21,1.15,316.92
MARI-016,A1,12.71,1.05,121.02
MARI-017,Nd,0.0,1.15,18.89
MARI-018,C,14.38,1.15,450.74
MARI-019,C,6.54,1.15,64.96
MARI-020,Bg,16.05,1.05,350.02
MARI-021,Bg,11.36,1.05,75.06
MARI-022,Bg,18.0,1.05,79.31
MARI-023,Bg,0.0,1.05,162.01
MARI-024,Bg,0.0,0.0,98.06
MARI-025,Ne,9.15,1.05,95.97
MARI-026,Or,9.76,1.05,68.15
MARI-027,Or,10.64,1.05,28.76
MARI-028,B,13.36,1.15,170.95
MARI-029,B,10.92,1.15,378.29
MARI-030,B1,0.0,0.0,87.36
MARI-031,B1,14.14,1.15,95.54
MARI-032,C,16.48,1.15,285.71
MARI-033,Bg,15.51,1.15,133.54
MARI-034,Bg,15.37,1.15,58.07
MARI-035,B,0.0,1.15,78.91
MARI-036, ,13.73,1.15,92.96
MARI-037,Bg,0.0,0.0,38.85
MARI-038,C,17.07,1.15,115.67
MARI-039, ,12.33,1.15,91.28
MARI-040,C,16.0,1.15,110.78
MARI-041,Or,4.72,1.15,21.77
MARI-042, ,4.75,1.15,14.43
MARI-043,Ka/Or,10.73,1.15,48.01
MARI-044,Ka,12.72,1.15,58.96
MARI-045,Ka/Or,12.98,1.15,116.15
MARI-046,Ka/Or,7.48,1.15,154.64
MARI-047,D,13.67,1.15,354.22
MARI-048,D,14.45,1.15,280.05
MARI-049,B,12.09,1.15,90.59
MARI-050,D,13.08,1.15,295.14
MARI-051,D,13.3,1.15,289.82
MARI-052,D,12.8,1.15,273.89
MARI-053,fa,12.26,1.15,258.58
MARI-054,A1,16.84,1.05,132.55
MARI-055,A1,7.2,1.05,46.78
MARI-056,fa,9.45,1.05,57.2
MARI-057,C,7.3,1.05,91.76
MARI-058,C,14.24,1.05,119.8
MARI-059,C,10.28,1.05,143.93
MARI-060,C,13.03,0.95,149.91
MARI-061,fa,15.55,1.05,89.16
MARI-062,fa,13.56,0.95,115.21
MARI-063,C,13.61,1.05,208.13
MARI-064,fa,12.01,0.95,65.26
MARI-065,C,15.4,1.05,283.58
MARI-066,C,10.05,0.95,39.43
MARI-067,Ne,10.21,1.05,129.84
MARI-068,Ne,10.43,0.95,235.63
MARI-069,fa,10.16,1.05,112.04
MARI-070,fa,0.0,0.0,110.65
MARI~NO_BUILDING,,,,
