short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
ROMA-001,Nr,5.58,1.05,103.35
ROMA-002,Nr,10.06,1.15,600.12
ROMA-003,Koa,10.43,1.15,541.83
ROMA-004,Koa,0.0,1.15,403.52
ROMA-005,Koa,6.92,1.25,156.63
ROMA-006,Koa,0.0,0.0,142.48
ROMA-007,Koa,0.0,0.0,155.26
ROMA-008,Koa,14.5,1.25,78.65
ROMA-009,N,5.1,1.85,944.64
ROMA-010,N,22.5,1.85,8753.39
ROMA-011,Nr,23.0,1.65,353.48
ROMA-012,Nr,4.8,1.65,86.38
ROMA-013,Nr,28.0,1.65,2089.19
ROMA-014,Nd,6.0,1.45,8.76
ROMA-015,Nd,3.8,1.45,10.1
ROMA-016,Nd,3.8,1.45,20.85
ROMA-017,Nd,3.8,1.45,4.77
ROMA-018,Nd,12.0,1.55,80.06
ROMA-019,Ne,7.21,1.55,93.38
ROMA-020,Ne,0.0,0.0,697.69
ROMA-021,Po,9999.0,1.35,13798.9
ROMA-022, ,6.67,1.35,28.84
ROMA-023,Po,9.7,1.35,359.41
ROMA-024,Po,12.2,1.35,572.41
ROMA-025, ,0.0,0.0,54.23
ROMA-026, ,0.0,0.0,881.35
ROMA-027,Po,7.51,1.55,167.75
ROMA-028,Ne,9999.0,1.45,14663.42
ROMA-029,Kna,4.7,1.45,85.16
ROMA-030,Knt,11.03,1.35,59.62
ROMA-031,Knt,8.02,1.35,85.57
ROMA-032,Knt,3.7,1.35,116.8
ROMA-033,Nr,6.17,1.35,114.7
ROMA-034,Ne,9999.0,1.45,14836.84
ROMA-035,Po,11.3,1.45,389.58
ROMA-036,Po,0.0,1.15,6.03
ROMA-037,Po,15.0,1.55,639.44
ROMA-038,Ne,9999.0,0.0,14613.72
ROMA-039,Ne,0.0,1.55,30.33
ROMA-040,Nd,5.6,1.45,146.37
ROMA-041,Ne,16.9,1.55,843.03
ROMA-042, ,9999.0,1.35,13789.64
ROMA-043,Ne,9999.0,1.35,13385.0
ROMA-044,Ne,9999.0,1.35,13679.66
ROMA-045,Po,7.28,1.35,40.05
ROMA-046,Po,7.83,1.35,42.7
ROMA-047,Ne,0.0,0.0,275.18
ROMA-048,Ne,0.0,0.0,244.76
ROMA-049,Ne,0.0,0.0,217.02
ROMA-050,Ne,0.0,0.0,187.63
ROMA-051,Ne,0.0,0.0,163.48
ROMA-052,Ne,7.3,1.35,125.08
ROMA-053,O,13.25,0.95,118.32
ROMA-054,O,5.4,0.95,65.36
ROMA-055,Nd,7.85,1.05,220.7
ROMA-056,Knt,5.5,1.05,96.89
ROMA-057,Knt,0.0,1.05,97.62
ROMA-058,Knt,5.73,1.05,144.95
ROMA-059,A,0.0,0.95,119.17
ROMA-060,B1,0.0,0.95,24.58
ROMA-061,B1,9999.0,0.95,13367.2
ROMA-062,A,8.66,0.95,27.38
ROMA-063,A,0.0,0.0,23.49
ROMA-064,Bg,0.0,0.0,90.43
ROMA-065,Bg,10.0,0.95,99.92
ROMA-066,fa,6.3,0.85,31.82
ROMA-067,C,9.6,0.85,252.99
ROMA-068,Nd,4.5,0.95,119.39
ROMA-069,Knt,4.7,0.95,75.2
ROMA-070,A,8.68,1.05,58.79
ROMA-071,C,10.1,1.05,102.02
ROMA-072,C,12.85,1.05,165.97
ROMA-073,C,0.0,0.0,160.74
ROMA-074,Nr,13.9,0.95,394.8
ROMA-075,Nr,4.5,1.25,75.93
ROMA-076,Ne,14.1,1.15,251.28
ROMA-077,Nd,4.3,2.45,25.36
ROMA-078,Nd,0.0,1.35,8.3
ROMA-079,C,14.5,1.35,282.13
ROMA-080,Nr,7.12,2.45,164.41
ROMA-081,Bg,7.64,1.25,113.46
ROMA-082,Bg,10.23,1.25,162.52
ROMA-083,C,11.62,1.25,272.99
ROMA-084,C,15.73,1.25,312.72
ROMA-085,Koa,0.0,0.0,425.47
ROMA-086, ,14.0,8.5,16.08
ROMA-087,Koa,11.5,1.05,124.35
ROMA-088,Nd,3.0,1.35,7.47
ROMA-089,Nr,5.57,1.05,79.52
ROMA-090,Nr,5.75,1.05,67.04
ROMA-091,SUo,14.31,1.55,437.32
ROMA-092,Nr,13.92,1.05,269.0
ROMA-093,Nr,6.0,1.05,54.55
ROMA-094,Nr,9.29,1.05,443.93
ROMA-095,C,7.17,1.05,488.35
ROMA-096,Ka,10.5,1.05,274.61
ROMA-097,Ne,10.02,1.05,10.12
ROMA-098,O,16.0,1.75,90.3
ROMA-099,Nd,11.7,1.75,539.25
ROMA-100,Nr,6.22,1.75,44.32
ROMA-101,Nd,5.05,1.75,75.74
ROMA-102,Nd,5.8,1.75,34.56
ROMA-103,Nr,5.21,1.75,20.04
ROMA-104,Nd,5.6,1.65,16.77
ROMA-105,Po,32.0,1.55,172.23
ROMA-106,Nr,18.43,1.35,886.84
ROMA-107,Nr,8.5,1.35,1830.53
ROMA-108,Knt,6.61,1.35,454.74
ROMA-109,Knt,6.61,1.35,203.93
ROMA-110,Kna,7.3,1.35,519.3
ROMA-111,Kna,5.22,0.95,55.4
ROMA-112,Kna,6.0,1.35,149.21
ROMA-113,O,8.02,1.85,74.7
ROMA-114,Ne,8.3,1.85,282.03
ROMA-115,Ne,11.0,1.85,67.56
ROMA-116,Ne,6.8,1.75,710.14
ROMA-117,Knt,8.9,1.75,252.32
ROMA-118,Knt,10.3,1.75,165.93
ROMA-119,Nd,4.5,1.75,28.94
ROMA-120,Nr,0.0,1.05,94.34
ROMA~NO_BUILDING,,,,
