short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
MATE-001,C,23.88,0.95,1469.04
MATE-002,C,12.0,0.95,343.76
MATE-003,pt,10.77,1.05,120.18
MATE-004,pt,7.65,1.05,43.31
MATE-005,A1,6.93,1.05,56.38
MATE-006,A,10.95,1.05,110.68
MATE-007,pt,9.76,1.25,251.6
MATE-008,Nd,4.62,1.05,11.98
MATE-009,Nd,6.49,1.05,32.61
MATE-010,B,7.27,0.95,45.38
MATE-011,B,5.89,1.05,21.64
MATE-012,pt,9.64,1.05,23.08
MATE-013,pt,11.34,1.05,20.87
MATE-014,C,15.68,1.25,68.07
MATE-015,Bg,8.59,1.35,144.77
MATE-016,C,14.03,1.35,62.32
MATE-017,pt,12.99,1.35,222.61
MATE-018,pt,8.98,1.15,144.2
MATE-019,Ne,12.74,1.15,97.56
MATE-020,A,18.08,1.15,406.81
MATE-021,Bg,11.52,0.95,123.35
MATE-022,Or,11.72,0.95,283.22
MATE-023,Or,13.1,0.95,243.64
MATE-024,A,15.4,0.85,82.21
MATE-025,A,0.0,0.0,92.19
MATE-026,A,14.18,0.85,167.39
MATE-027,C,11.57,0.85,279.55
MATE-028,A,7.04,0.85,28.57
MATE-029,A,7.96,0.85,29.35
MATE-030,A,12.3,0.85,66.1
MATE-031,A,9.84,0.85,24.56
MATE-032,A,12.91,0.85,22.01
MATE-033,A,13.47,0.85,22.07
MATE-034,A,10.21,0.85,38.51
MATE-035,Or,9.0,0.85,78.87
MATE-036,Nr,11.54,0.85,91.81
MATE-037,Nr,15.0,0.85,332.37
MATE-038,Nr,0.0,0.85,354.38
MATE-039,Nd,4.57,0.85,23.95
MATE-040,Ne,11.13,1.15,74.36
MATE-041,Or,15.31,1.15,161.23
MATE-042,D,18.18,0.95,253.48
MATE-043,Nd,4.55,0.85,20.76
MATE-044,Nd,4.1,1.35,11.01
MATE-045,A,17.51,1.35,378.96
MATE-046,A,17.51,1.35,131.53
MATE-047,Bg,6.8,1.35,36.96
MATE-048,Bg,13.16,1.35,59.75
MATE-049,A,0.0,1.35,408.85
MATE-050,A,14.72,1.35,43.73
MATE-051,SU,0.0,0.0,35.69
MATE-052,C,14.5,0.95,97.19
MATE-053,A,13.9,0.95,66.96
MATE-054,A,13.27,0.95,48.35
MATE-055,A,0.0,0.0,18.49
MATE-056,A,0.0,0.0,15.13
MATE-057,B,10.25,0.95,68.36
MATE-058,pt,18.78,1.05,366.69
MATE-059,B,13.0,1.35,100.82
MATE-060,B,9999.0,1.15,162.18
MATE-061,pt,13.46,1.25,219.84
MATE-062,A,3.07,0.95,6.78
MATE-063,A,0.0,0.0,12.18
MATE-064,A,0.0,0.0,19.31
MATE-065,A,3.3,0.95,11.68
MATE-066,A,0.0,0.0,25.11
MATE-067,A,9.94,0.95,42.52
MATE-068,A,0.0,0.0,112.54
MATE-069,C,13.73,1.25,97.79
MATE-070,C,0.0,0.0,254.47
MATE-071,fa,15.5,1.25,63.5
MATE-072,B1,13.1,1.25,73.3
MATE-073,C,13.51,1.05,229.95
MATE-074,C,14.0,1.05,240.82
MATE-075,Bg,0.0,0.0,53.3
MATE-076,C,0.0,0.0,237.49
MATE~NO_BUILDING,,,,
